CODIGO,COMUNA,HOMBRE,MUJER,INDETERMINADO,TOTAL,Category,A,B,C,D,00 a 02 años,03 a 04 años,05 a 09 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,Más de 99 años,S.I.,Total general
13125,QUILICURA,,,,,TRAMO EDAD,,,,,5166.0,4173.0,12344.0,12493.0,12452.0,13824.0,15086.0,15830.0,14044.0,12085.0,10969.0,11794.0,10775.0,9609.0,6987.0,4551.0,2824.0,1687.0,717.0,315.0,95.0,21.0,22.0,177863.0
13126,QUINTA NORMAL,,,,,TRAMO EDAD,,,,,2786.0,2181.0,6689.0,6603.0,6228.0,7381.0,9555.0,10677.0,9340.0,7740.0,6824.0,6545.0,6095.0,6125.0,4877.0,3803.0,3057.0,2068.0,1136.0,623.0,179.0,38.0,33.0,110583.0
13127,RECOLETA,,,,,TRAMO EDAD,,,,,3845.0,3092.0,9344.0,9226.0,8960.0,9567.0,11914.0,12895.0,11565.0,10195.0,9254.0,8822.0,8324.0,7864.0,6589.0,5327.0,4215.0,2871.0,1487.0,755.0,230.0,65.0,48.0,146454.0
13128,RENCA,,,,,TRAMO EDAD,,,,,4022.0,3191.0,9552.0,9845.0,9657.0,10110.0,10994.0,11124.0,9961.0,9403.0,8832.0,8953.0,7912.0,7283.0,6247.0,4767.0,3618.0,2217.0,1045.0,413.0,117.0,40.0,62.0,139365.0
13129,SAN JOAQUÍN,,,,,TRAMO EDAD,,,,,2099.0,1783.0,5182.0,5383.0,5357.0,6366.0,7740.0,8600.0,7382.0,6399.0,5469.0,5698.0,6085.0,6086.0,4898.0,3775.0,3099.0,2094.0,1191.0,597.0,198.0,41.0,33.0,95555.0
13130,SAN MIGUEL,,,,,TRAMO EDAD,,,,,2942.0,2335.0,6264.0,5759.0,5352.0,6440.0,9268.0,11324.0,10027.0,7830.0,6332.0,5698.0,5939.0,6276.0,5288.0,3907.0,3015.0,2201.0,1397.0,749.0,252.0,44.0,22.0,108661.0
13131,SAN RAMÓN,,,,,TRAMO EDAD,,,,,1946.0,1503.0,5002.0,5162.0,5202.0,5908.0,6441.0,6528.0,5519.0,4996.0,4911.0,5697.0,5656.0,4649.0,3510.0,2939.0,2767.0,2014.0,1039.0,428.0,122.0,67.0,110.0,82116.0
13132,VITACURA,,,,,TRAMO EDAD,,,,,158.0,116.0,462.0,613.0,744.0,762.0,1090.0,1174.0,1136.0,1279.0,1515.0,1925.0,1994.0,1965.0,1609.0,1242.0,1089.0,926.0,570.0,384.0,146.0,38.0,8.0,20945.0
13201,PUENTE ALTO,,,,,TRAMO EDAD,,,,,11050.0,8698.0,28281.0,30635.0,30307.0,32489.0,34917.0,35284.0,29856.0,27045.0,24453.0,26519.0,29322.0,29013.0,22200.0,14696.0,9872.0,5856.0,3071.0,1412.0,362.0,93.0,81.0,435512.0
13202,PIRQUE,,,,,TRAMO EDAD,,,,,666.0,484.0,1609.0,1740.0,1623.0,1652.0,1804.0,1961.0,1801.0,1575.0,1565.0,1624.0,1679.0,1687.0,1283.0,966.0,683.0,474.0,263.0,112.0,40.0,7.0,2.0,25300.0
